ROOMNAME,SPECTYPE,GENTYPE,ROOMCAP
ACK01,NONE,ACKER,1000
B034,NONE,BOWD034,30
B101,NONE,BOWD101,30
B202,NONE,BOWD202,72
B406,NONE,BOWD400,24
B408,NONE,BOWD400,18
B104,NONE,BOWDCONF,26
B102,NONE,BOWDGEN,30
B201,NONE,BOWDGEN,30
B301,NONE,BOWDGEN,30
B302,NONE,BOWDGEN,30
B303,NONE,BOWDGEN,30
B317,NONE,BOWDGEN,30
B401,NONE,BOWDLAB1BIG,30
B407,NONE,BOWDLAB1SMALL,20
B106,NONE,BOWDLAB2BIG,28
B106A,NONE,BOWDLAB2SMALL,14
B217,NONE,BOWDLAB3,30
C009,NONE,CAORF009,30
C107,NONE,CAORF107,30
F301,NONE,CHEM301,20
G305,NONE,CHEMLAB1,30
G307,NONE,CHEMLAB1,30
DUM1,NONE,DUMMY,1000
DUM10,NONE,DUMMY,1000
DUM11,NONE,DUMMY,1000
DUM12,NONE,DUMMY,1000
DUM13,NONE,DUMMY,1000
DUM14,NONE,DUMMY,1000
DUM15,NONE,DUMMY,1000
DUM16,NONE,DUMMY,1000
DUM2,NONE,DUMMY,1000
DUM3,NONE,DUMMY,1000
DUM4,NONE,DUMMY,1000
DUM5,NONE,DUMMY,1000
DUM6,NONE,DUMMY,1000
DUM7,NONE,DUMMY,1000
DUM8,NONE,DUMMY,1000
DUM9,NONE,DUMMY,1000
FIT222,NONE,FITCH,12
F105,NONE,FULT105,18
F114,NONE,FULT114,30
F201,NONE,FULT201,48
F203,NONE,FULT203,15
F302,NONE,FULT302,30
F322,NONE,FULTCON,14
F101,NONE,FULTGEN,35
F102,NONE,FULTGEN,35
F104,FULT104,FULTGEN,14
F115,NONE,FULTGEN,30
F204,NONE,FULTGEN,30
F207,NONE,FULTGEN,30
F208,NONE,FULTGEN,30
F209,NONE,FULTGEN,30
F210,NONE,FULTGEN,32
F212,NONE,FULTGEN,30
F213,FULT213,FULT213,30
F214,NONE,FULTGEN,30
F303,FULT303,FULTGEN,15
G05,NONE,FULTGEN,30
G204,NONE,FULTGEN,28
G205,NONE,FULTGEN,30
N202,NONE,FURSTHGEN,30
G06,NONE,GIBBS06,90
G09,NONE,GIBBS09,20
G107,NONE,GIBBS107,20
G110,NONE,GIBBS110,20
G111,NONE,GIBBS111,20
G12,NONE,GIBBS112,30
G14,NONE,GIBBS114,20
G18,NONE,GIBBS18,30
G207,NONE,GIBBS207,20
G211,NONE,GIBBS211,30
G215,NONE,GIBBS215,30
G03,NONE,GIBBSLAB1,20
G18A,NONE,GIBBSLAB2,15
MUS01,NONE,MUS,30
MUS02,NONE,MUS,20
B028,NONE,OFFLINE,38
H121,NONE,OHARA121,30
H200,NONE,OHARA200,30
GYM,NONE,OHARAGYM,30
WRES,NONE,OHARAWRSR,30
G310,NONE,PHYLAB,30
G312,NONE,PHYLAB,30
POOL,NONE,POOL,50
S107,NONE,SAM107,24
S227,NONE,SAM227,150
S001,NONE,SAMGEN,30
S002,NONE,SAMGEN,30
S003,NONE,SAMGEN,30
S03,NONE,SAMGEN,20
S201,NONE,SAMGEN,28
S202,NONE,SAMGEN,21
S203,NONE,SAMGEN,24
S216,NONE,SAMGEN,30
S221,NONE,SAMGEN,30
S222,NONE,SAMGEN,24
S224,NONE,SAMGEN,30
TBA,NONE,TBA,60
Y217,NONE,WATERF,30
WF,NONE,WATERFLAB,30
